cutoff_date,ID,end_modified,end_true
294,VA-2020-69-2020,4,4
294,PA-2018-01-2018,4,3
294,VA-2019-35-2019,3,3
294,WV-2019-01-2019,4,4
294,RI-2020-34-2020,4,4
294,ME-2018-12-2018,4,4
294,ME-2020-18-2020,3,4
294,VT-2021-26-2021,4,4
294,NS-2019-06-2019,3,3
294,NY-2019-10-2019,4,4
294,VT-2021-21-2021,4,4
294,NS-2019-01-2019,4,4
294,VA-2020-63-2020,4,4
294,RI-2020-33-2020,3,1
294,RI-2021-50-2021,4,4
294,PA-2019-15-2019,4,4
294,QUE-2019-06-2019,3,4
294,RI-2021-47-2021,1,1
294,NY-2019-13-2019,4,4
294,ME-2018-08-2018,3,4
311,RI-2019-25-2019,4,4
311,PA-2018-08-2018,4,4
311,QUE-2019-15-2019,4,4
311,NJ-2018-07-2018,3,4
311,ME-2017-02-2017,3,3
311,VA-2019-34-2019,4,4
311,RI-2020-32-2020,4,4
311,VA-2019-39-2019,4,4
311,RI-2018-07-2018,4,4
311,RI-2020-38-2020,4,4
311,QUE-2018-02-2018,4,4
311,RI-2020-44-2020,4,4
311,RI-2020-39-2020,4,4
311,ME-2020-17-2020,4,4
311,PA-2021-38-2021,4,4
311,ME-2018-13-2018,3,3
311,NJ-2018-15-2018,3,3
311,PA-2021-39-2021,3,4
311,QUE-2018-05-2018,4,4
311,VA-2019-50-2019,4,4
311,PA-2021-45-2021,4,4
311,RI-2020-35-2020,4,4
311,VA-2018-01-2018,4,4
311,ME-2020-16-2020,4,4
311,VT-2020-06-2020,4,4
311,PA-2018-09-2018,4,4
311,VA-2018-05-2018,4,4
311,VA-2020-69-2020,4,4
311,PA-2018-01-2018,4,4
311,RI-2018-06-2018,4,4
311,VA-2019-35-2019,4,4
311,WV-2019-01-2019,4,4
311,RI-2021-59-2021,3,4
311,RI-2020-34-2020,4,4
311,ME-2018-12-2018,4,4
311,ME-2020-18-2020,3,4
311,VT-2021-26-2021,4,4
311,NS-2019-06-2019,3,3
311,NY-2019-10-2019,4,4
311,VT-2021-21-2021,4,4
311,NS-2019-01-2019,4,4
311,VA-2020-63-2020,4,4
311,RI-2020-33-2020,4,4
311,RI-2021-50-2021,4,4
311,PA-2019-15-2019,4,4
311,QUE-2019-06-2019,4,4
311,RI-2021-47-2021,4,1
311,NY-2019-13-2019,4,4
311,ME-2018-08-2018,3,4
325,RI-2019-25-2019,4,4
325,PA-2018-08-2018,4,4
325,QUE-2019-15-2019,4,4
325,NJ-2018-07-2018,3,4
325,ME-2017-02-2017,3,3
325,VA-2019-34-2019,4,4
325,RI-2020-32-2020,4,4
325,VA-2019-39-2019,4,4
325,RI-2018-07-2018,4,4
325,RI-2020-38-2020,4,4
325,QUE-2018-02-2018,4,4
325,RI-2020-44-2020,4,4
325,RI-2020-39-2020,4,4
325,ME-2020-17-2020,4,4
325,PA-2021-38-2021,4,4
325,NJ-2018-15-2018,3,3
325,PA-2021-39-2021,4,4
325,QUE-2018-05-2018,4,4
325,VA-2019-50-2019,4,4
325,PA-2021-45-2021,4,4
325,RI-2020-35-2020,4,4
325,ME-2020-16-2020,4,4
325,VT-2020-06-2020,4,4
325,PA-2018-09-2018,4,4
325,VA-2018-05-2018,4,4
325,VA-2020-69-2020,4,4
325,PA-2018-01-2018,4,4
325,RI-2018-06-2018,4,4
325,VA-2019-35-2019,4,4
325,WV-2019-01-2019,4,4
325,RI-2021-59-2021,3,4
325,RI-2020-34-2020,4,4
325,ME-2018-12-2018,4,4
325,ME-2020-18-2020,4,4
325,VT-2021-26-2021,4,4
325,NY-2019-10-2019,4,4
325,VT-2021-21-2021,4,4
325,NS-2019-01-2019,4,4
325,VA-2020-63-2020,4,4
325,RI-2020-33-2020,4,4
325,RI-2021-50-2021,4,4
325,PA-2019-15-2019,4,4
325,QUE-2019-06-2019,4,4
325,RI-2021-47-2021,3,3
325,NY-2019-13-2019,4,4
325,ME-2018-08-2018,4,4
342,RI-2019-25-2019,4,4
342,PA-2018-08-2018,4,4
342,NJ-2018-07-2018,4,4
342,VA-2019-34-2019,4,4
342,RI-2020-32-2020,4,4
342,VA-2019-39-2019,4,4
342,RI-2018-07-2018,4,4
342,RI-2020-38-2020,4,4
342,QUE-2018-02-2018,4,4
342,RI-2020-44-2020,4,4
342,RI-2020-39-2020,4,4
342,ME-2020-17-2020,4,4
342,NJ-2018-15-2018,3,3
342,PA-2021-39-2021,4,4
342,VA-2019-50-2019,4,4
342,PA-2021-45-2021,4,4
342,RI-2020-35-2020,4,4
342,ME-2020-16-2020,4,4
342,VT-2020-06-2020,4,4
342,PA-2018-09-2018,4,4
342,VA-2018-05-2018,4,4
342,VA-2020-69-2020,4,4
342,VA-2019-35-2019,4,4
342,RI-2020-34-2020,4,4
342,ME-2018-12-2018,4,4
342,VT-2021-26-2021,4,4
342,NY-2019-10-2019,4,4
342,NS-2019-01-2019,4,4
342,VA-2020-63-2020,4,4
342,RI-2020-33-2020,4,4
342,RI-2021-50-2021,4,4
342,PA-2019-15-2019,4,4
342,RI-2021-47-2021,3,3
342,NY-2019-13-2019,4,4
356,PA-2018-08-2018,4,4
356,NJ-2018-07-2018,4,4
356,VA-2019-34-2019,4,4
356,RI-2018-07-2018,4,4
