cutoff_date,ID,end_modified,end_true
122,SC-2020-14-2020,5,3
122,MD-2021-19-2021,4,4
136,NC-2021-23-2021,4,4
136,VA-2019-11-2019,4,4
136,VA-2019-15-2019,4,4
136,NC-2021-25-2021,4,3
136,MD-2020-10-2020,4,4
136,GA-2021-14-2021,4,4
136,VA-2020-71-2021,4,4
136,QUE-2019-08-2020,5,5
136,NJ-2018-05-2019,5,5
136,AL-2020-04-2020,3,4
136,NC-2020-13-2020,4,4
136,SC-2021-22-2021,4,4
136,AL-2021-09-2021,4,4
136,NC-2021-26-2021,4,4
136,MD-2021-22-2021,4,4
136,GA-2021-13-2021,4,4
136,NJ-2019-18-2020,5,5
136,PA-2020-25-2021,4,4
136,FL-2022-07-2022,5,5
136,FL-2021-03-2021,5,5
136,SC-2020-14-2020,4,4
136,MD-2021-19-2021,4,4
153,NC-2021-23-2021,4,4
153,VA-2019-11-2019,4,4
153,VA-2019-15-2019,4,4
153,NC-2021-25-2021,4,4
153,MD-2020-10-2020,4,4
153,GA-2021-14-2021,4,4
153,VA-2020-71-2021,4,4
153,QUE-2019-08-2020,4,4
153,NJ-2018-05-2019,4,4
153,AL-2020-04-2020,4,4
153,NC-2020-13-2020,5,5
153,SC-2021-22-2021,4,4
153,AL-2021-09-2021,4,4
153,NC-2021-26-2021,4,4
153,MD-2021-22-2021,4,4
153,GA-2021-13-2021,4,4
153,NJ-2019-18-2020,5,5
153,AL-2022-16-2022,5,5
153,PA-2020-25-2021,4,4
153,FL-2022-07-2022,4,4
153,FL-2021-03-2021,5,5
153,SC-2020-14-2020,5,5
153,MD-2021-19-2021,4,4
167,NC-2021-23-2021,4,4
167,VA-2019-11-2019,4,4
167,VA-2019-15-2019,4,4
167,NC-2021-25-2021,4,4
167,MD-2020-10-2020,4,4
167,GA-2021-14-2021,5,5
167,VA-2020-71-2021,5,5
167,QUE-2019-08-2020,4,4
167,NJ-2018-05-2019,4,4
167,AL-2020-04-2020,4,4
167,NC-2020-13-2020,4,4
167,SC-2021-22-2021,4,4
167,AL-2021-09-2021,4,4
167,NC-2021-26-2021,4,4
167,MD-2021-22-2021,4,4
167,GA-2021-13-2021,5,5
167,NJ-2019-18-2020,4,4
167,AL-2022-16-2022,4,4
167,PA-2020-25-2021,4,4
167,FL-2022-07-2022,5,5
167,VA-2020-51-2020,5,5
167,FL-2021-03-2021,5,5
167,SC-2020-14-2020,4,4
167,MD-2021-19-2021,5,5
75,SC-2021-19-2021,5,4
75,SC-2019-05-2019,3,3
75,AL-2021-08-2021,3,3
75,MD-2021-21-2021,3,3
75,NC-2020-06-2020,3,3
92,SC-2021-19-2021,3,4
92,SC-2019-05-2019,2,2
92,AL-2021-08-2021,4,4
92,MD-2021-21-2021,4,4
92,NC-2020-06-2020,3,3
106,SC-2021-19-2021,3,4
106,SC-2019-05-2019,4,4
106,AL-2021-08-2021,4,4
106,MD-2021-21-2021,4,4
106,NC-2020-06-2020,4,4
122,SC-2021-19-2021,3,4
122,SC-2019-05-2019,4,4
