"burst","loc_id","long","lat","first_date","last_date","attempt_start","attempt_end","tot_vis","days_vis","consec_days","perc_days_vis","perc_top_vis"
"RI-2021-50",21,-77.2278366,36.8594818,2022-01-05,2022-03-02,2022-01-05,2022-01-25,15,15,15,26.32,100
"RI-2021-53",10,-75.4363251,38.544651,2022-01-21,2022-02-10,2022-01-21,2022-02-10,5,5,5,23.81,100
"RI-2021-57",41,-71.3458023,41.7843857,2022-04-01,2022-04-11,2022-04-01,2022-04-11,6,6,6,54.55,100
"RI-2021-58",1,-76.5684357,37.8576775,2022-02-04,2022-03-06,2022-02-04,2022-02-24,8,8,8,25.81,100
"RI-2021-59",23,-85.3562469,38.2838669,2022-02-18,2022-03-16,2022-02-24,2022-03-16,7,7,7,25.93,100
"SC-2022-25",39,-73.7957993,43.0275459,2022-07-13,2022-08-24,2022-07-13,2022-08-02,6,6,6,13.95,100
"SC-2022-25",15,-73.7983856,43.0279541,2022-04-18,2022-05-12,2022-04-18,2022-05-08,5,5,5,20,100
"SC-2022-25",23,-73.7967453,43.0276222,2022-05-24,2022-06-05,2022-05-24,2022-06-05,5,5,5,38.46,100
"VA-2021-96",41,-72.8641891,43.7868423,2022-05-01,2022-05-25,2022-05-01,2022-05-21,8,8,8,32,100
"VA-2021-97",14,-76.7695236,37.4545288,2022-01-14,2022-03-13,2022-02-21,2022-03-13,7,7,7,11.86,100
"VA-2021-98",36,-66.0225906,47.6290436,2022-04-26,2022-05-21,2022-04-26,2022-05-16,14,14,14,53.85,100
"VA-2022-100",30,-77.0161285,37.4286728,2022-02-13,2022-04-22,2022-03-21,2022-04-10,13,13,13,18.84,100
"VA-2022-100",48,-76.6190491,44.3005066,2022-05-13,2022-06-01,2022-05-13,2022-06-01,9,9,9,45,100
"VT-2021-23",1,-85.7428131,30.137331,2022-01-15,2022-03-05,2022-01-15,2022-02-04,5,5,5,10,100
